cell_type,tf,score,padj
CD4T,ARID5A,-0.645645311352144,0.5972438787537061
CD4T,ASH1L,-6.440291634914036,1.0506962360514288e-09
CD4T,ATF2,-0.22912442595545876,0.8520460029001966
CD4T,ATF3,3.073231320721551,0.004834093055359007
CD4T,ATF4,3.6554387224539067,0.0006920242884968912
CD4T,ATF6,-2.6076625174793775,0.017220466571638976
CD4T,BACH1,-1.453657317132534,0.19847914070571124
CD4T,BACH2,-12.13554173466021,1.8857581981734539e-31
CD4T,BATF,12.756386929680845,1.7222483333075604e-34
CD4T,BCL11B,-10.19727834425497,1.1179690337547876e-22
CD4T,BHLHE40,11.190834501226744,4.748840537438639e-27
CD4T,CDC5L,1.5820895488544575,0.15976777849012364
CD4T,CEBPB,4.142404871716273,0.00011462703377326421
CD4T,CEBPZ,0.47653640675992615,0.7022567198232661
CD4T,CLOCK,2.6223121767663824,0.01670222654039866
CD4T,CREB1,-1.9927864827159079,0.0743434236628785
CD4T,CREB3,2.8067313019277607,0.010155060877878841
CD4T,CREB3L2,5.631377372522463,1.0444653032065075e-07
CD4T,CREM,1.2494673982328826,0.2711625559626509
CD4T,CTCF,-0.42826219383576447,0.7289559490574177
CD4T,CUX1,-1.4870965604407282,0.18869016226525304
CD4T,DDIT3,-0.40253085205345174,0.7415993920928463
CD4T,DMTF1,-2.0999370844997522,0.058006557626977207
CD4T,DNMT1,1.746635189009204,0.11924330574852711
CD4T,DR1,4.474334114474957,2.8115133771929854e-05
CD4T,DRAP1,12.556484029284237,1.6188091585020112e-33
CD4T,E2F2,4.4854167697581335,2.7166743394493492e-05
CD4T,E2F4,3.1484735286512784,0.0037930854798711587
CD4T,EEA1,-4.60683044445402,1.5622262662939224e-05
CD4T,ELF1,0.39324161972518323,0.7450650635927779
CD4T,ELF2,-1.761478312167106,0.11718347059081788
CD4T,ELF4,2.5542159414927537,0.019227817180844195
CD4T,ELK3,5.854615226577928,3.2608990470598225e-08
CD4T,ELK4,-2.551916741617981,0.019227817180844195
CD4T,ETS1,-14.028370975192283,3.3914746137385923e-41
CD4T,ETV3,-0.28307882169576104,0.8212103984379245
CD4T,ETV6,4.631252157792393,1.4153296034542679e-05
CD4T,ETV7,4.219655221383336,8.314449295648276e-05
CD4T,FLI1,3.723051263766736,0.0005454732129001705
CD4T,FOS,2.9568068283080935,0.0069314508884231255
CD4T,FOSB,-1.3583261766415804,0.2308062403927013
CD4T,FOSL2,2.953102775698121,0.006938950760071132
CD4T,FOXJ3,-2.497574911285671,0.02186148682540812
CD4T,FOXO1,-5.185057151872017,1.0585836437519787e-06
CD4T,FOXP1,-16.982130171534887,9.996105215611746e-59
CD4T,GATA3,18.307810974444443,2.229555789148127e-67
CD4T,GATAD2A,-0.0953446023735861,0.9331545294358703
CD4T,GATAD2B,-2.9957968205594727,0.006173673096286102
CD4T,GTF2I,-1.1951960216530215,0.2901886127937358
CD4T,GTF3A,11.193843025022586,4.748840537438639e-27
CD4T,HBP1,-1.666669356332557,0.14018390745000653
CD4T,HIF1A,-3.579826814956437,0.0009018583900676874
CD4T,HIVEP1,-3.178861872999083,0.0035367193173104724
CD4T,HLF,4.309795584881795,5.755619714244926e-05
CD4T,HSF2,-1.2391923813876164,0.27259731138028637
CD4T,IKZF1,-11.59856799751792,6.903056744022288e-29
CD4T,IKZF2,-0.4903908971030178,0.6951178221149136
CD4T,IKZF3,2.5406086561271213,0.01968763600255448
CD4T,IKZF5,-1.8686229132227792,0.09528658639874088
CD4T,IRF1,5.816599554407816,3.96721981974703e-08
CD4T,IRF2,2.5744983225651654,0.01850355316897746
CD4T,IRF3,0.11625981539980214,0.9255170698808577
CD4T,IRF5,5.272160036734813,6.953418535693614e-07
CD4T,IRF7,1.1351290874192341,0.31481130637031324
CD4T,IRF9,1.7814734141961526,0.11386686997873235
CD4T,JUN,6.566610670655529,5.124107949482008e-10
CD4T,JUNB,2.9174467217243962,0.007463903631597377
CD4T,JUND,2.3717687065629587,0.030402381434271153
CD4T,KAT7,-1.5507316705458853,0.16891275632802782
CD4T,KDM2A,-5.86061722955278,3.239651535895538e-08
CD4T,KLF10,7.634934116208919,3.227208492575996e-13
CD4T,KLF12,-6.090961288575984,8.586200862385713e-09
CD4T,KLF13,-1.1573924499688542,0.30533765765794063
CD4T,KLF2,1.2927205292193373,0.25463558722881174
CD4T,KLF3,-6.486228190373369,8.081625017579853e-10
CD4T,KLF6,19.88539336166932,3.468252133989057e-78
CD4T,KLF7,-1.8794297534559887,0.09369404682789953
CD4T,KLF8,3.55828499665634,0.0009665481676747889
CD4T,KLF9,-2.4522265077890864,0.024602909192468582
CD4T,KMT2A,-2.9244048584017266,0.007375007501505943
CD4T,LCOR,-0.9838035008974675,0.3923097926865265
CD4T,LEF1,-15.800410311735034,2.1144106040539314e-51
CD4T,MAF,7.972409968988387,2.5185426870953467e-14
CD4T,MAX,-0.4461079952762023,0.7225336295827224
CD4T,MAZ,3.84439364356575,0.0003547450338922889
CD4T,MBD2,2.879766458083245,0.008244393285937632
CD4T,MEF2A,-4.711824076480367,9.775115541918419e-06
CD4T,MGA,-0.4984399573584667,0.6925508269860811
CD4T,MLX,2.117919217818648,0.056258352075960985
CD4T,MSC,6.597549442023291,4.365995889832881e-10
CD4T,MTF2,-0.4135606201753309,0.7367416492584659
CD4T,MXD4,7.521002442516456,7.248411760917688e-13
CD4T,MXI1,-2.94987520078581,0.006938950760071132
CD4T,MYBL1,1.3431953898593731,0.23569710572404182
CD4T,MYC,-3.875293687937629,0.0003218398782929344
CD4T,NCOA1,-0.24277129842846246,0.8496537680742009
CD4T,NCOA2,-1.1659248001882534,0.3028814497143287
CD4T,NCOA3,-2.2699843198666136,0.038855983293459566
CD4T,NFAT5,-0.14533896498442334,0.9065692104648927
CD4T,NFATC2,4.738741149898544,8.898395459205494e-06
CD4T,NFATC3,-4.952121369801836,3.326485530634979e-06
CD4T,NFKB1,-3.1647092610017253,0.0036603154865866463
CD4T,NFKB2,3.846253497295158,0.0003547450338922889
CD4T,NR1D2,-1.125601098816701,0.31783328252467563
CD4T,NR1H2,1.2448583017089996,0.27162930920089134
CD4T,NR2C2,0.6686223321894622,0.5835121114676556
CD4T,NR3C1,6.224331429202663,3.8789357606665045e-09
CD4T,NR3C2,-1.602642786350883,0.15434385189839014
CD4T,NR4A2,-2.822580263226751,0.009764058878226695
CD4T,PHF20,0.10441856173663522,0.9304641176422795
