dataset,cell_type,ctr,treatment,p_value,delta,test_type,p_value_type
parsebioscience,CD8T,PBS,IL-3,0.2921531342752083,1.5356025994472826,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-4,6.906625628969957e-63,17.987526216410792,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-5,0.8287890655119176,-0.3802652091086395,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-6,0.6064742690802778,-0.7516397126488804,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-7,1.3766464033865773e-26,10.518961791117105,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-8,0.5208045932065923,-0.9293668926852161,mixed-effect,corrected
parsebioscience,CD8T,PBS,IL-9,0.9281717987000255,-0.27856866016721515,mixed-effect,corrected
parsebioscience,CD8T,PBS,LIF,0.03672686518049505,2.212808180550693,mixed-effect,corrected
parsebioscience,CD8T,PBS,LIGHT,0.7648101823596083,0.514889736648911,mixed-effect,corrected
parsebioscience,CD8T,PBS,LT-alpha1-beta2,0.3508770828466189,1.252407148973287,mixed-effect,corrected
parsebioscience,CD8T,PBS,LT-alpha2-beta1,0.9385345470075037,-0.22512454586702255,mixed-effect,corrected
parsebioscience,CD8T,PBS,Leptin,0.026698259186624836,2.436762466653158,mixed-effect,corrected
parsebioscience,CD8T,PBS,M-CSF,0.9589555308057631,0.15249530786858131,mixed-effect,corrected
parsebioscience,CD8T,PBS,Noggin,0.9875741660742329,0.024482709037421654,mixed-effect,corrected
parsebioscience,CD8T,PBS,OSM,0.33929342304027943,-1.2686050698916698,mixed-effect,corrected
parsebioscience,CD8T,PBS,OX40L,0.5208045932065923,-0.8472120696705789,mixed-effect,corrected
parsebioscience,CD8T,PBS,PRL,0.6064742690802778,0.7256335486678734,mixed-effect,corrected
parsebioscience,CD8T,PBS,PSPN,0.3365020655076323,-1.2677584041407521,mixed-effect,corrected
parsebioscience,CD8T,PBS,RANKL,0.040248381006209984,2.254533739879378,mixed-effect,corrected
parsebioscience,CD8T,PBS,SCF,0.6497249413252674,0.6802163400953187,mixed-effect,corrected
parsebioscience,CD8T,PBS,TGF-beta1,0.49963156161706523,0.9703737869820825,mixed-effect,corrected
parsebioscience,CD8T,PBS,TL1A,0.009131062778254283,2.673849529542122,mixed-effect,corrected
parsebioscience,CD8T,PBS,TNF-alpha,0.9817421205491664,-0.06511186527478943,mixed-effect,corrected
parsebioscience,CD8T,PBS,TPO,0.8287890655119176,-0.3803349330373824,mixed-effect,corrected
parsebioscience,CD8T,PBS,TRAIL,0.6064742690802778,0.7062744139700774,mixed-effect,corrected
parsebioscience,CD8T,PBS,TSLP,0.9281717987000255,0.251219679298882,mixed-effect,corrected
parsebioscience,CD8T,PBS,TWEAK,0.9817421205491664,-0.05697763848689597,mixed-effect,corrected
parsebioscience,CD8T,PBS,VEGF,0.016780720503460713,2.5046246613125787,mixed-effect,corrected
