cell_type,gene,clock_coef,signed_coef,pooled_rho
CD8T,YWHAB,-0.035872975404757784,0.035872975404757784,0.3564350789875312
CD8T,PABPC1L,-0.019470043576275235,-0.019470043576275235,-0.1933807201694695
CD8T,PIGT,0.05111524044599798,0.05111524044599798,0.3108698145120865
CD8T,ZSWIM1,-0.10778651361960208,-0.10778651361960208,-0.2533244032701029
CD8T,ZMYND8,-0.16083977038043806,-0.16083977038043806,-0.1924699923310431
CD8T,NCOA3,-0.01617932699424003,-0.01617932699424003,-0.1623245389231188
CD8T,B4GALT5,-0.08816859901329366,0.08816859901329366,0.2562700185635961
CD8T,RNF114,-0.1457932502868791,0.1457932502868791,0.1166059041366005
CD8T,CEBPB,0.03939849014004721,0.03939849014004721,0.2752206022952974
CD8T,BCAS4,0.013241307066123422,-0.013241307066123422,-0.2847516849687039
CD8T,ATP9A,-0.06788826473863532,0.06788826473863532,0.1250457708848164
CD8T,CASS4,0.0019115199308422839,-0.0019115199308422839,-0.1752161571185247
CD8T,RTF2,0.15404129342315434,0.15404129342315434,0.2014811878329533
CD8T,ZBP1,0.04273004982494016,0.04273004982494016,0.4220586455267197
CD8T,PMEPA1,0.02605512938160857,-0.02605512938160857,-0.235069443734793
CD8T,RAB22A,0.030214494091708215,0.030214494091708215,0.2068908885852609
CD8T,STX16,-0.09744465688951648,-0.09744465688951648,-0.2915013824507526
CD8T,ATP5F1E,-0.0648803833323579,0.0648803833323579,0.2404289314048743
CD8T,PSMA7,-0.15020792625563062,0.15020792625563062,0.4010833245375443
CD8T,ADRM1,0.012219901962509775,0.012219901962509775,0.4013550347903856
CD8T,RPS21,-0.07462736871271132,-0.07462736871271132,-0.3930584008613205
CD8T,PPDPF,0.15032005931541,0.15032005931541,0.235464613766035
CD8T,STMN3,-0.009665364634626382,-0.009665364634626382,-0.1763492104152845
CD8T,SLC2A4RG,0.13333463770559922,0.13333463770559922,0.1282170805517707
CD8T,RGS19,-0.06031952569386809,0.06031952569386809,0.3429475851385214
CD8T,PCMTD2,0.08547352075325337,-0.08547352075325337,-0.115730259694413
CD8T,RBM11,-0.18100175744625277,-0.18100175744625277,-0.2810851386622564
CD8T,SAMSN1,-0.03990972693717239,0.03990972693717239,0.2992976291485625
CD8T,NRIP1,-0.12459370846477832,-0.12459370846477832,-0.3161742217058106
CD8T,BTG3,0.03299625798668268,0.03299625798668268,0.2603879001243855
CD8T,ATP5PF,0.16309610229772362,0.16309610229772362,0.2640105118878311
CD8T,APP,0.007834171756026612,-0.007834171756026612,-0.3778392416226814
CD8T,N6AMT1,0.16849002095387972,-0.16849002095387972,-0.2028203338351908
CD8T,BACH1,-0.06837563891403062,-0.06837563891403062,-0.1138484895487149
CD8T,TIAM1,0.11796402804080608,-0.11796402804080608,-0.2393629212213447
CD8T,IFNAR1,0.060081987112680736,-0.060081987112680736,-0.1100799968663761
CD8T,IFNGR2,0.09884398884581562,-0.09884398884581562,-0.3804228815179576
CD8T,MRPS6,0.07663699396318595,0.07663699396318595,0.2469054007594737
CD8T,CBR3,0.11034157003849367,-0.11034157003849367,-0.1584327659778712
CD8T,TTC3,0.02264651191016898,-0.02264651191016898,-0.3098441966473636
CD8T,MX2,-0.04784287852964176,-0.04784287852964176,-0.1180974773559233
CD8T,UMODL1,0.02895944637669482,-0.02895944637669482,-0.1584532739590589
CD8T,ABCG1,-0.018984072379161932,-0.018984072379161932,-0.2328142720715089
CD8T,UBASH3A,-0.06900287592760278,-0.06900287592760278,-0.1757562889520098
CD8T,PDE9A,-0.07234357261321586,-0.07234357261321586,-0.3853127733642445
CD8T,SIK1,-0.043442566405477646,-0.043442566405477646,-0.1535338287124596
CD8T,CSTB,0.11056171793800156,0.11056171793800156,0.2664734490116974
CD8T,UBE2G2,-0.17567812486459194,-0.17567812486459194,-0.1825615624316156
CD8T,ITGB2,0.12604844495456252,0.12604844495456252,0.3984553089531457
CD8T,COL18A1,-0.130967542279453,-0.130967542279453,-0.2230489294261084
CD8T,SLC19A1,0.11958054457392585,-0.11958054457392585,-0.1811388616454298
CD8T,COL6A2,0.2222962759666873,0.2222962759666873,0.2520970382094388
CD8T,LSS,0.09963334359226782,0.09963334359226782,0.2221534103068083
CD8T,S100B,0.1172244267806469,-0.1172244267806469,-0.2132890081657074
CD8T,PRMT2,0.10924847524276161,-0.10924847524276161,-0.1152170012570632
CD8T,IL17RA,0.030137965910205927,-0.030137965910205927,-0.284086553495992
CD8T,ATP6V1E1,-0.03926498984572646,0.03926498984572646,0.3152128302559149
CD8T,UFD1,0.06786112716519131,0.06786112716519131,0.3173664678958831
CD8T,RTL10,-0.21683682388114212,-0.21683682388114212,-0.2262653310358252
CD8T,MED15,0.10996969397483819,0.10996969397483819,0.2475849629722411
CD8T,HIC2,-0.0481987846980364,-0.0481987846980364,-0.1538820476812586
CD8T,UBE2L3,-0.03774048756576766,0.03774048756576766,0.4332732149694718
CD8T,SDF2L1,-0.05865891871845017,0.05865891871845017,0.3392929914018061
CD8T,YPEL1,-0.038171699265456355,0.038171699265456355,0.3229201406794024
CD8T,MAPK1,0.12672660285338205,0.12672660285338205,0.299599184210039
CD8T,BCR,0.058698096288473924,0.058698096288473924,0.1659987621339711
CD8T,CHCHD10,0.12797256906120524,-0.12797256906120524,-0.2128329082165919
CD8T,SLC2A11,-0.05317083110588246,-0.05317083110588246,-0.2587403526517768
CD8T,MIF,0.18887917823119615,0.18887917823119615,0.1148701335448963
CD8T,SNRPD3,-0.01509565082315776,0.01509565082315776,0.2292268001934648
CD8T,SGSM1,0.16835265337053068,0.16835265337053068,0.1799459838890797
CD8T,KIAA1671,-0.08622575437951041,0.08622575437951041,0.1923047475271259
CD8T,TFIP11,0.05291401992773274,0.05291401992773274,0.1677787799833747
CD8T,TPST2,-0.15835488217776952,0.15835488217776952,0.3866158641477576
CD8T,XBP1,-0.02317856999479063,0.02317856999479063,0.3373703891238485
CD8T,EWSR1,-0.11869600181871719,0.11869600181871719,0.1875236097607259
CD8T,UQCR10,0.11582649739964981,0.11582649739964981,0.3228058251266578
CD8T,CASTOR1,-0.015171610394270502,-0.015171610394270502,-0.1189505561672781
CD8T,SEC14L2,-0.08401265236746344,-0.08401265236746344,-0.3038201317353027
CD8T,MORC2,-0.023641895615048477,-0.023641895615048477,-0.1213513739438724
CD8T,TUG1,0.11554093499940868,-0.11554093499940868,-0.2007586370172051
CD8T,PIK3IP1,-0.0026326678318782095,-0.0026326678318782095,-0.4950760750762898
CD8T,PATZ1,-0.20485749771701292,-0.20485749771701292,-0.1822405638347723
CD8T,SFI1,0.14626906197643694,-0.14626906197643694,-0.1431163813552521
CD8T,YWHAH,-0.0017632323227634097,0.0017632323227634097,0.3694047043500796
CD8T,FBXO7,0.05510971517581807,0.05510971517581807,0.28856969931822
CD8T,MCM5,0.003441364762031794,0.003441364762031794,0.1870164477917341
CD8T,APOL6,-0.03454337588281735,0.03454337588281735,0.2467939898930371
CD8T,APOL2,0.18702751265717865,0.18702751265717865,0.269447647656143
CD8T,EIF3D,-0.032424982557163036,-0.032424982557163036,-0.1532816114172614
CD8T,MPST,-0.040274799683848755,0.040274799683848755,0.3897300698329807
CD8T,IL2RB,0.018731040068014154,0.018731040068014154,0.3359182143226175
CD8T,SSTR3,-0.08427404981601978,-0.08427404981601978,-0.2897230468501756
CD8T,RAC2,-0.10142647113108372,0.10142647113108372,0.2625038303177057
CD8T,GGA1,0.06347302600047901,0.06347302600047901,0.3125352299686265
CD8T,SH3BP1,0.14774815824250193,0.14774815824250193,0.2780007878786014
CD8T,LGALS1,0.05564055207506314,0.05564055207506314,0.4664994588191622
CD8T,EIF3L,0.006574552189685629,-0.006574552189685629,-0.3296730745217318
CD8T,POLR2F,-0.03285157629737878,0.03285157629737878,0.3457314467665593
CD8T,JOSD1,0.0874290008025613,0.0874290008025613,0.1077286530771086
CD8T,SUN2,0.1541481848918813,0.1541481848918813,0.2794757019069503
CD8T,CBX6,-0.01567008365243979,0.01567008365243979,0.2146643138081074
CD8T,APOBEC3C,-0.02421760194757593,0.02421760194757593,0.4054980562008696
CD8T,APOBEC3G,-0.15887051672719027,0.15887051672719027,0.4288140141081276
CD8T,APOBEC3H,0.03094635932417427,0.03094635932417427,0.3950678445899983
CD8T,RPS19BP1,-0.0006495180284207568,0.0006495180284207568,0.2838569619749235
CD8T,TNRC6B,0.02824010274423649,-0.02824010274423649,-0.1856327417713147
CD8T,ADSL,0.009107164467722166,-0.009107164467722166,-0.2730327298910058
CD8T,SGSM3,-0.3206037091655844,-0.3206037091655844,-0.1033025575175446
CD8T,MRTFA,0.04966561154579969,-0.04966561154579969,-0.1126341655844582
CD8T,ST13,-0.19143609548521762,-0.19143609548521762,-0.455397084382565
CD8T,XPNPEP3,0.10386671541851708,-0.10386671541851708,-0.1875381194863863
CD8T,RBX1,-0.02755038046498646,0.02755038046498646,0.352927592779098
CD8T,XRCC6,-0.06761228869319745,0.06761228869319745,0.1603948543013515
CD8T,SNU13,0.009642325276316987,0.009642325276316987,0.307449444570841
CD8T,NDUFA6,-0.05912489019906918,0.05912489019906918,0.3862647991104399
CD8T,CYB5R3,-0.010758518999676956,0.010758518999676956,0.3434950680955253
CD8T,ARFGAP3,0.06952910578237802,0.06952910578237802,0.2567124280118994
CD8T,TSPO,0.33478141886576734,0.33478141886576734,0.4513705148686513
CD8T,TTC38,-0.00641692482314141,0.00641692482314141,0.3356600295032844
