gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
REPIN1,9.49748380306794e-16,-0.433188399689151,313,1.83046462917261e-15,healthy,aging,abf300,CD8T
REST,2.737930819496208e-06,0.2614895949398561,313,3.1643511246027587e-06,healthy,aging,abf300,CD8T
REXO4,3.166379681752615e-17,-0.4527791709307761,313,9.638912167535779e-17,healthy,aging,abf300,CD8T
RFX2,1.8518358097606108e-16,-0.44276270431087855,313,4.4286360520603785e-16,healthy,aging,abf300,CD8T
RFX3,0.5067585287929168,0.03766284618232023,313,0.5132081827957358,healthy,aging,abf300,CD8T
RFX5,1.58759940999725e-16,0.4436489856423143,313,3.87823320775644e-16,healthy,aging,abf300,CD8T
RFX7,8.247011761326574e-13,0.3899686791694936,313,1.1398475174587846e-12,healthy,aging,abf300,CD8T
RLF,0.0007810633284087043,0.18892863839821267,313,0.0008497114725071256,healthy,aging,abf300,CD8T
RORA,7.064047095176e-17,0.4482688836692311,313,1.9475827881252635e-16,healthy,aging,abf300,CD8T
RREB1,0.03551617091756291,0.11888990386118098,313,0.03711539812585842,healthy,aging,abf300,CD8T
RUNX1,4.524999473158449e-17,0.45078053606432483,313,1.3124310971610708e-16,healthy,aging,abf300,CD8T
RUNX2,1.207953164644955e-18,-0.47051732450410605,313,1.2131998412858907e-17,healthy,aging,abf300,CD8T
RUNX3,2.1082392485825143e-17,0.4550404801671007,313,7.076427487318347e-17,healthy,aging,abf300,CD8T
RXRA,1.9146621761135505e-19,0.48029206023965654,313,4.39463840041412e-18,healthy,aging,abf300,CD8T
RXRB,3.293760572376951e-15,0.4256974825435283,313,5.7692423547608854e-15,healthy,aging,abf300,CD8T
SAFB,9.521850123964393e-09,0.31724115341118686,313,1.1605405949764981e-08,healthy,aging,abf300,CD8T
SAFB2,2.473881735962619e-05,0.2359387383311329,313,2.7950347402255134e-05,healthy,aging,abf300,CD8T
SATB1,3.4468796145912468e-18,-0.46491934612975444,313,2.2259790061945633e-17,healthy,aging,abf300,CD8T
SCML4,3.488285339989583e-18,-0.464855145538608,313,2.2269022234186178e-17,healthy,aging,abf300,CD8T
SETBP1,8.809456921836112e-15,0.41963698588600906,313,1.475201635080536e-14,healthy,aging,abf300,CD8T
SETDB1,7.155188769980349e-12,0.3747312169147201,313,9.466603656316044e-12,healthy,aging,abf300,CD8T
SETDB2,1.3868996473354625e-13,0.4019751683814202,313,2.0065014230281883e-13,healthy,aging,abf300,CD8T
SGSM2,2.375872381138542e-12,-0.3826051845386158,313,3.2042637063539172e-12,healthy,aging,abf300,CD8T
SKIL,0.1757052776658139,-0.0767322333645737,313,0.18123674011084878,healthy,aging,abf300,CD8T
SLC2A4RG,6.095823518983652e-13,0.39203875676694616,313,8.488434110934736e-13,healthy,aging,abf300,CD8T
SMAD3,3.3148938161267764e-20,0.490611326598894,313,1.2893958555826144e-18,healthy,aging,abf300,CD8T
SMAD4,4.843753597618765e-07,0.2798636866858528,313,5.691921421674256e-07,healthy,aging,abf300,CD8T
SMAD5,8.595318369921075e-17,0.447155942933687,313,2.3016971419989956e-16,healthy,aging,abf300,CD8T
SMYD3,7.00393893370384e-13,0.39108944924542155,313,9.728663168012566e-13,healthy,aging,abf300,CD8T
SNAI3,4.670239909749619e-19,0.4755472842336196,313,6.880063864136589e-18,healthy,aging,abf300,CD8T
SNAPC2,5.36625794864092e-18,0.462531593046233,313,2.868688151339416e-17,healthy,aging,abf300,CD8T
SNAPC5,1.3893439820580633e-08,0.3138670991728277,313,1.6896606943357735e-08,healthy,aging,abf300,CD8T
SON,0.00042638020956970964,-0.19796036973134923,313,0.00046842953990202817,healthy,aging,abf300,CD8T
SOX13,2.343255647737708e-15,0.427766972940452,313,4.2102833089996885e-15,healthy,aging,abf300,CD8T
SOX4,1.1956020021338565e-20,-0.5025508749505398,313,3.3964102298379433e-19,healthy,aging,abf300,CD8T
SP1,4.339712521362343e-15,0.4240108468913678,313,7.530262630525936e-15,healthy,aging,abf300,CD8T
SP100,2.0930827062823182e-15,0.4284500828889306,313,3.797529307489417e-15,healthy,aging,abf300,CD8T
SP110,1.593167323623307e-18,-0.4690463871795168,313,1.453671468521087e-17,healthy,aging,abf300,CD8T
SP140,2.108472331323856e-18,0.46755254903430526,313,1.7709834674960422e-17,healthy,aging,abf300,CD8T
SP140L,0.0011447970019206625,-0.18300750399952348,313,0.0012381590875141923,healthy,aging,abf300,CD8T
SP2,4.295759879851617e-17,0.4510723747271276,313,1.2524509178415452e-16,healthy,aging,abf300,CD8T
SP3,1.2855743708357034e-16,0.44485959739914527,313,3.314857521090217e-16,healthy,aging,abf300,CD8T
SP4,3.3120056390946663e-18,0.46513387005626805,313,2.1895442154472967e-17,healthy,aging,abf300,CD8T
SPEN,1.1238553937852224e-15,0.4321852654524883,313,2.15114049600814e-15,healthy,aging,abf300,CD8T
SRCAP,1.7931421732730824e-17,0.4559359609734873,313,6.31362306665733e-17,healthy,aging,abf300,CD8T
SREBF1,7.123031848715966e-19,-0.4733149435567147,313,8.89051986303362e-18,healthy,aging,abf300,CD8T
SREBF2,1.1152712287694764e-17,0.4585482203925117,313,4.8136494203369087e-17,healthy,aging,abf300,CD8T
STAT1,0.0013781990934114067,-0.18006836961947933,313,0.0014819631178188291,healthy,aging,abf300,CD8T
STAT2,5.520126664533176e-17,0.4496621147905121,313,1.544800779972351e-16,healthy,aging,abf300,CD8T
STAT3,3.340990279361465e-12,-0.38019296476639514,313,4.445893391743696e-12,healthy,aging,abf300,CD8T
STAT4,3.909204914266725e-16,0.43842446680426567,313,8.572328493096716e-16,healthy,aging,abf300,CD8T
STAT5A,1.6522121015649125e-14,-0.41569804473896527,313,2.6674828509323367e-14,healthy,aging,abf300,CD8T
STAT5B,2.0760785305004722e-17,0.4551256242437735,313,7.076427487318347e-17,healthy,aging,abf300,CD8T
STAT6,2.335771112989877e-15,0.4277863505579017,313,4.2102833089996885e-15,healthy,aging,abf300,CD8T
TBP,1.4871888774841757e-10,0.35188774621068336,313,1.8999179006949219e-10,healthy,aging,abf300,CD8T
TBPL1,1.612717492639439e-17,0.45652120416716957,313,5.906096338158997e-17,healthy,aging,abf300,CD8T
TBX21,7.979934461790772e-16,0.4342224598203293,313,1.5874170697205216e-15,healthy,aging,abf300,CD8T
TCF12,1.5737406787359932e-17,0.45665606455527885,313,5.879305758764753e-17,healthy,aging,abf300,CD8T
TCF20,1.6441562613964392e-15,0.429905557266262,313,3.0526315586593887e-15,healthy,aging,abf300,CD8T
TCF7,1.7712451720707347e-16,-0.44301911520844495,313,4.2706833802744553e-16,healthy,aging,abf300,CD8T
TCF7L2,1.3019763400175665e-18,0.4701193982791041,313,1.2850550381960438e-17,healthy,aging,abf300,CD8T
TERF1,8.889102844120644e-16,0.43358201977694194,313,1.7311799245367827e-15,healthy,aging,abf300,CD8T
TERF2,2.593341654721027e-16,0.44081496015692145,313,5.89565551705964e-16,healthy,aging,abf300,CD8T
TET2,1.6487277003379447e-14,0.41571135461761766,313,2.6674828509323367e-14,healthy,aging,abf300,CD8T
TFAP4,2.0674059195423533e-19,-0.4798798454684543,313,4.566021238271212e-18,healthy,aging,abf300,CD8T
TFCP2,1.3207821782545125e-15,0.4312199077831771,313,2.4937969602975033e-15,healthy,aging,abf300,CD8T
TFDP1,9.821101809216487e-18,0.4592440530191137,313,4.3776283699513324e-17,healthy,aging,abf300,CD8T
TFDP2,1.9336212837161974e-13,0.3997735578655214,313,2.7830155021445013e-13,healthy,aging,abf300,CD8T
TFE3,1.0875269340257621e-14,0.4183232225696228,313,1.7974835170692866e-14,healthy,aging,abf300,CD8T
TFEB,1.071686386283361e-13,0.4036721779095891,313,1.5708664775258738e-13,healthy,aging,abf300,CD8T
TGIF1,1.8649624786735234e-19,0.48043357556709204,313,4.39463840041412e-18,healthy,aging,abf300,CD8T
TGIF2,6.622977139305988e-16,-0.4353256138803938,313,1.3562288847769984e-15,healthy,aging,abf300,CD8T
THAP1,2.965853000051333e-17,0.45314401819265687,313,9.123884646566809e-17,healthy,aging,abf300,CD8T
THAP11,1.7736930305069664e-14,0.41525040220252685,313,2.8389266120470693e-14,healthy,aging,abf300,CD8T
THAP12,9.959188580854986e-18,0.45916771695037256,313,4.3981730472509734e-17,healthy,aging,abf300,CD8T
THAP4,9.440797901191501e-14,0.4045030666578101,313,1.3911438820009697e-13,healthy,aging,abf300,CD8T
THAP5,0.742818064103594,-0.018619541567026002,313,0.7481910699922276,healthy,aging,abf300,CD8T
THAP6,0.0007625434913194079,0.18929446432764147,313,0.0008311873281113702,healthy,aging,abf300,CD8T
THAP7,1.3678389236191116e-14,-0.41688653860921226,313,2.2408403631054266e-14,healthy,aging,abf300,CD8T
THRA,1.982813240333186e-09,-0.33082349310884435,313,2.4707538587472356e-09,healthy,aging,abf300,CD8T
THYN1,1.3563433415100963e-19,-0.4821605323222285,313,3.6830696906374925e-18,healthy,aging,abf300,CD8T
TIGD1,2.346675448915686e-14,-0.41347764380614566,313,3.6923662939153586e-14,healthy,aging,abf300,CD8T
TMF1,1.9732375002501153e-14,0.4145764917289992,313,3.131318320909727e-14,healthy,aging,abf300,CD8T
TOPORS,2.386730735657252e-15,0.4276556005734938,313,4.274609163218936e-15,healthy,aging,abf300,CD8T
TP53,8.90537945756655e-12,0.3731428394843752,313,1.175425675899187e-11,healthy,aging,abf300,CD8T
TRAFD1,3.307303357740127e-18,0.46514150366314216,313,2.1895442154472967e-17,healthy,aging,abf300,CD8T
TRERF1,4.1554528295463836e-18,0.4639128844234287,313,2.5840240274199612e-17,healthy,aging,abf300,CD8T
TRPS1,1.6331486536973033e-18,0.4689144627940513,313,1.453671468521087e-17,healthy,aging,abf300,CD8T
TSC22D1,4.9095399750482773e-17,0.45032212818485867,313,1.4093076113927271e-16,healthy,aging,abf300,CD8T
TSHZ1,1.680286786092452e-18,0.4687629650576265,313,1.453671468521087e-17,healthy,aging,abf300,CD8T
TSHZ2,4.706833477918458e-18,-0.46324053981797775,313,2.725141924167272e-17,healthy,aging,abf300,CD8T
TTF1,5.3652900406500087e-14,0.4081787462344517,313,8.055164408738692e-14,healthy,aging,abf300,CD8T
UBP1,2.8915271380900167e-14,0.4121486132760111,313,4.4493891985294006e-14,healthy,aging,abf300,CD8T
USF1,2.539649554701011e-09,0.32872503415250093,313,3.1575553615243144e-09,healthy,aging,abf300,CD8T
USF2,1.3612010468796444e-17,0.45745465727441725,313,5.373276475971361e-17,healthy,aging,abf300,CD8T
USF3,8.467397339949498e-18,0.4600538025482988,313,4.061008895130923e-17,healthy,aging,abf300,CD8T
VEZF1,5.170935162560103e-18,0.46273221989356544,313,2.8456672621028266e-17,healthy,aging,abf300,CD8T
XBP1,1.1958468529430454e-16,0.4452735737719339,313,3.112294378921852e-16,healthy,aging,abf300,CD8T
XPA,5.514247356713514e-09,0.32204641107168797,313,6.765277043356513e-09,healthy,aging,abf300,CD8T
YBX1,7.341841895601615e-18,-0.46083066884787227,313,3.679131473738828e-17,healthy,aging,abf300,CD8T
YBX3,5.861154110672967e-16,-0.43604669612973335,313,1.2181369924047922e-15,healthy,aging,abf300,CD8T
YY1,3.5483425271160845e-16,0.43899033238049817,313,7.905484350414636e-16,healthy,aging,abf300,CD8T
ZBED1,1.3577143155092913e-15,0.4310547087010808,313,2.5377224957673665e-15,healthy,aging,abf300,CD8T
ZBED3,5.65946332012394e-19,-0.47453123158532384,313,7.741552673272586e-18,healthy,aging,abf300,CD8T
ZBED4,4.8987119099431e-18,0.463024645756897,313,2.8072294163281516e-17,healthy,aging,abf300,CD8T
ZBED5,1.4480484558022182e-17,-0.457114472434745,313,5.520588971793394e-17,healthy,aging,abf300,CD8T
ZBED6,0.00061401498351229,0.19256732434154122,313,0.0006732408382211526,healthy,aging,abf300,CD8T
ZBTB1,0.00016567496813587793,0.2113211390961478,313,0.0001838266080710837,healthy,aging,abf300,CD8T
ZBTB10,2.5784947673122718e-14,-0.41287869926679194,313,4.034328731440829e-14,healthy,aging,abf300,CD8T
ZBTB11,1.5909355342682257e-17,0.4565961701013435,313,5.903960617249345e-17,healthy,aging,abf300,CD8T
ZBTB16,5.204393474158145e-09,0.3225502291253796,313,6.399221115012179e-09,healthy,aging,abf300,CD8T
ZBTB17,2.3571927857551477e-13,0.3984535310768282,313,3.366554681963121e-13,healthy,aging,abf300,CD8T
