"gene","meta_p","meta_p_adj"
"ZNF143",4.96426982565806e-54,9.31009526226108e-54
"ZNF146",8.33068380711167e-49,1.10480735251457e-48
"ZNF148",3.3997871585332e-08,3.55955159267479e-08
"ZNF160",5.57912904878644e-41,6.75559756559576e-41
"ZNF195",3.46660372150888e-53,5.7296684655206e-53
"ZNF207",2.87187270889058e-55,6.67879846887508e-55
"ZNF217",2.9280846670629e-26,3.33526208497758e-26
"ZNF22",1.18263040729385e-59,3.44206938125719e-58
"ZNF224",1.7844002938645e-55,4.51519203599827e-55
"ZNF226",1.41930380394376e-51,2.06410500991299e-51
"ZNF236",9.78898250856679e-55,2.04979821701944e-54
"ZNF24",4.06461531276705e-31,4.73638227868462e-31
"ZNF25",3.74649653856917e-55,8.3471942879321e-55
"ZNF253",1.10042690290385e-50,1.54392389147971e-50
"ZNF254",2.54593405850656e-13,2.73234156182688e-13
"ZNF263",3.34958694399099e-19,3.70918474712323e-19
"ZNF264",1.70162147100616e-52,2.61102798719127e-52
"ZNF266",2.26055932079696e-56,7.77241692397473e-56
"ZNF267",1.83433251577717e-56,6.84315876530319e-56
"ZNF273",1.02222371263304e-39,1.22975941239007e-39
"ZNF274",2.88805135137492e-57,1.93812602736847e-56
"ZNF276",6.36343077549204e-54,1.17365262978446e-53
"ZNF277",2.1137275011529e-55,5.14124986088282e-55
"ZNF28",1.16863999943429e-58,1.94366280030767e-57
"ZNF280D",2.72580865004815e-44,3.38145972845617e-44
"ZNF281",8.39539484498234e-52,1.24038061768041e-51
"ZNF292",1.55434723225811e-42,1.90279430410499e-42
"ZNF296",2.21059376356395e-58,3.240265069224e-57
"ZNF302",1.38673839617899e-58,2.14559246297694e-57
"ZNF317",7.46590799431634e-49,9.92484666547542e-49
"ZNF318",3.81686249278948e-57,2.26169405157844e-56
