gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
STAT2,0.3027590036884662,0.04138622647827638,622,0.3508836742948824,healthy,aging,aida,MONO
STAT3,0.015569937892546497,0.0969532338509168,622,0.025478080187803356,healthy,aging,aida,MONO
STAT4,0.2941681266610096,-0.04212800452304724,622,0.3429976537585861,healthy,aging,aida,MONO
STAT5A,0.0003694153320209077,0.14234259250308656,622,0.0009291844159128508,healthy,aging,aida,MONO
STAT5B,0.03279526350068242,0.0856039299975238,622,0.049065121497124865,healthy,aging,aida,MONO
STAT6,5.291701350640904e-09,0.23135406227601407,622,3.2774408365197855e-08,healthy,aging,aida,MONO
TBP,5.671053098783852e-05,0.16070461710522796,622,0.00017752861874453799,healthy,aging,aida,MONO
TBPL1,2.971414301436439e-07,0.20375408255921046,622,1.4628501176301976e-06,healthy,aging,aida,MONO
TBX21,0.0688733968749842,-0.07299475080460603,622,0.09312459295772511,healthy,aging,aida,MONO
TCF12,0.005651840910302007,0.11084049611613277,622,0.010724652986988444,healthy,aging,aida,MONO
TCF20,0.006441837687232305,0.10913158815589484,622,0.011969350025309057,healthy,aging,aida,MONO
TCF3,9.66669771111711e-05,0.15568696502645712,622,0.00028264050160423625,healthy,aging,aida,MONO
TCF4,0.1239934484405692,0.06174257148740461,622,0.15492456898431206,healthy,aging,aida,MONO
TCF7,0.1551784171631372,0.05706433150121084,622,0.18977233181733977,healthy,aging,aida,MONO
TCF7L2,6.583547309858963e-18,0.33627312933112075,622,3.7863632504787626e-16,healthy,aging,aida,MONO
TERF1,3.4581566826433365e-05,0.16522824101544545,622,0.0001119043960226158,healthy,aging,aida,MONO
TERF2,0.02285775990385594,0.09124453595814389,622,0.035680405703580005,healthy,aging,aida,MONO
TET2,0.3772410141364876,-0.03546492212774871,622,0.4285815071846486,healthy,aging,aida,MONO
TET3,0.18563303149483829,-0.0531412634673213,622,0.22275963779380592,healthy,aging,aida,MONO
TFAP4,0.08011835720792877,0.07022320962918929,622,0.10608775575118844,healthy,aging,aida,MONO
TFCP2,0.25200372840021035,0.0459984197844919,622,0.2980577978614397,healthy,aging,aida,MONO
TFDP1,0.05695404652341679,-0.07637206075518585,622,0.07829482290569945,healthy,aging,aida,MONO
TFDP2,7.865577454561219e-10,0.24327374206511052,622,5.593299523172422e-09,healthy,aging,aida,MONO
TFE3,0.007754673759340074,0.10666910453773285,622,0.014135101536012286,healthy,aging,aida,MONO
TFEB,0.07162816022105824,-0.07228342706355627,622,0.09617207526184043,healthy,aging,aida,MONO
TFEC,4.396215754315904e-18,-0.3379680697155324,622,3.009369363997527e-16,healthy,aging,aida,MONO
TGIF1,0.5851147694298571,-0.021931239067733543,622,0.634700766839167,healthy,aging,aida,MONO
TGIF2,0.4568811033611144,-0.029884825700975753,622,0.5090203395280501,healthy,aging,aida,MONO
THAP1,1.1359154045510423e-06,0.1936680960550994,622,5.151868291507045e-06,healthy,aging,aida,MONO
THAP11,9.398264867173624e-13,0.2810263785184957,622,9.333449148089666e-12,healthy,aging,aida,MONO
THAP12,0.15472277523954187,0.057127260418727885,622,0.18961769901697045,healthy,aging,aida,MONO
THAP4,4.019887404322941e-09,0.23311307891452854,622,2.5167990705263634e-08,healthy,aging,aida,MONO
THAP5,0.00233127604776473,0.12186011529582766,622,0.004900784684352133,healthy,aging,aida,MONO
THAP6,1.7866944270648067e-05,0.1710878136692412,622,6.0537411175842824e-05,healthy,aging,aida,MONO
THAP7,2.632240381580476e-06,0.18706804234571664,622,1.0602590627904535e-05,healthy,aging,aida,MONO
THRA,0.000177454462959835,0.1497786056256684,622,0.00048214042766445733,healthy,aging,aida,MONO
THYN1,2.41274721829139e-13,0.28798809267337866,622,2.7249849806585116e-12,healthy,aging,aida,MONO
TMF1,0.042559816277632556,0.08134439303882054,622,0.06052951648374408,healthy,aging,aida,MONO
TOPORS,0.0005722929268039816,0.13772688236081482,622,0.0013735030243295558,healthy,aging,aida,MONO
TP53,0.00027936254095093646,0.1452180424658105,622,0.0007120036441935372,healthy,aging,aida,MONO
TRAFD1,3.1960982795170746e-06,0.18551038327799688,622,1.2523487136066865e-05,healthy,aging,aida,MONO
TRERF1,0.033369630990032866,-0.08532530180189046,622,0.04953842126355394,healthy,aging,aida,MONO
TRPS1,0.00013907728641364775,-0.15217476820075554,622,0.00038887629599155876,healthy,aging,aida,MONO
TSC22D1,2.2818882246916043e-06,-0.18820610047035705,622,9.455882139729195e-06,healthy,aging,aida,MONO
TSHZ1,0.011481250150663667,0.10129448112820338,622,0.019607484564309368,healthy,aging,aida,MONO
TSHZ2,0.1538465033784242,-0.05724867856001722,622,0.18894581225154017,healthy,aging,aida,MONO
TTF1,4.0680215456234494e-08,0.21783404748662885,622,2.2749324371636223e-07,healthy,aging,aida,MONO
UBP1,0.10319169600156199,0.06540152762768021,622,0.1329718498812074,healthy,aging,aida,MONO
USF1,0.0075063177321539895,0.10710471830881295,622,0.013769550999110505,healthy,aging,aida,MONO
USF2,0.3105895946654928,0.04072216801613854,622,0.3585162455457392,healthy,aging,aida,MONO
USF3,0.016314947606448114,0.09627298796608036,622,0.02632327681040368,healthy,aging,aida,MONO
VEZF1,3.0915381971935627e-08,0.21970438071605833,622,1.7458098054734472e-07,healthy,aging,aida,MONO
XBP1,0.9911709394559747,0.00044459292696841576,622,0.994624496736309,healthy,aging,aida,MONO
XPA,2.2721264819293442e-08,0.2217831550725944,622,1.335453932235435e-07,healthy,aging,aida,MONO
YBX1,6.108756047359205e-16,0.3165270426750997,622,1.4660774513662093e-14,healthy,aging,aida,MONO
YBX3,0.9257987468782193,0.003741763911245318,622,0.947175982596544,healthy,aging,aida,MONO
YY1,0.7868024521355079,-0.010866200324503738,622,0.8229886012934249,healthy,aging,aida,MONO
ZBED1,0.3075686724427668,0.04097702639076761,622,0.35574207896994714,healthy,aging,aida,MONO
ZBED4,0.006490205848775091,0.10903319157261908,622,0.011981918490046322,healthy,aging,aida,MONO
ZBED5,0.006298560512456145,0.10942700238461932,622,0.011741006003801745,healthy,aging,aida,MONO
