"gene","meta_p","meta_p_adj"
"ZNF12",2.57481294735557e-10,5.00092849045656e-10
"ZNF121",1.25896304490726e-10,3.05075503632388e-10
"ZNF124",2.33999816411757e-11,1.13290514298755e-10
"ZNF131",3.3077289711027e-11,1.34303259873853e-10
"ZNF134",4.3004930025393e-13,8.32731826855337e-12
"ZNF136",7.69518920056378e-12,5.5877567035912e-11
"ZNF138",7.42067950419808e-11,2.18516783556801e-10
"ZNF14",1.61542167411899e-10,3.52907555793937e-10
"ZNF141",2.15051298728912e-10,4.43793329908345e-10
"ZNF142",5.58521035079854e-11,1.7676854164545e-10
"ZNF143",3.72574424996664e-11,1.40872815131875e-10
"ZNF146",1.50231553490644e-10,3.36837917086001e-10
"ZNF148",2.42770077555574e-10,4.81770433409974e-10
"ZNF160",9.23237354337738e-11,2.47030075846463e-10
"ZNF182",9.77555826736394e-07,1.1174564817255e-06
"ZNF189",3.36024166467896e-10,6.15241955223455e-10
"ZNF195",6.1487340011884e-12,4.97346965412581e-11
"ZNF197",2.03859403080783e-07,2.3990084450943e-07
"ZNF202",9.73363563924753e-09,1.24895445250586e-08
"ZNF207",3.84759389342974e-07,4.4459538840897e-07
"ZNF217",2.71320931681196e-08,3.33411683354393e-08
"ZNF22",1.61060742487663e-11,9.13317411984197e-11
"ZNF224",2.10247192743224e-11,1.10121275543377e-10
"ZNF226",5.35294186040933e-13,1.00603819082399e-11
"ZNF227",2.816564937819e-10,5.33293789480667e-10
"ZNF235",1.41557941912541e-10,3.26554241451675e-10
"ZNF236",1.8304027722906e-09,2.62837611571616e-09
"ZNF24",5.95865035658578e-12,4.88150971520297e-11
"ZNF248",1.07731276086386e-09,1.60841788362619e-09
"ZNF250",3.18301721609719e-11,1.32171238836271e-10
"ZNF253",6.08599017339534e-10,9.92078500203985e-10
"ZNF254",4.20543582864686e-11,1.48468148867698e-10
"ZNF26",9.84600452901854e-11,2.59983342729043e-10
"ZNF260",5.18780066563723e-09,6.8633636135449e-09
"ZNF263",2.91031297167018e-11,1.28254481992913e-10
"ZNF264",1.06463237520928e-11,6.80300087758727e-11
"ZNF266",2.04390692276945e-10,4.28215253655632e-10
"ZNF267",1.60293335496203e-09,2.32789639504713e-09
"ZNF268",1.74136452987494e-10,3.75922950875029e-10
"ZNF273",4.61113675949275e-12,4.15002308354348e-11
"ZNF274",2.11159471143567e-12,2.36720880808315e-11
"ZNF276",2.39672000338743e-10,4.77104075440675e-10
"ZNF277",4.66876242448314e-10,8.0380732317323e-10
"ZNF280D",7.36441985052931e-07,8.44858937969162e-07
"ZNF281",3.37327783855775e-11,1.347202836774e-10
"ZNF292",3.59923261847681e-09,4.9248600496931e-09
"ZNF296",0.0377420111049388,0.0384643462457032
"ZNF3",2.34027353480996e-11,1.13290514298755e-10
"ZNF302",3.84001399275717e-11,1.43495259729347e-10
"ZNF316",1.84951021164364e-10,3.95263219143907e-10
"ZNF317",1.32571872944257e-11,7.91714269265235e-11
"ZNF318",8.28480807488407e-11,2.32546566129672e-10
"ZNF32",1.99394069810958e-12,2.27522876087861e-11
"ZNF322",2.03934237223537e-09,2.88944517928692e-09
"ZNF326",5.08564891194202e-11,1.70142913860259e-10
"ZNF331",5.54757124245413e-10,9.20308173469473e-10
"ZNF333",8.21233827419217e-12,5.83076017467644e-11
"ZNF335",1.60942651836268e-08,2.00863973678468e-08
"ZNF33A",1.8749834353934e-09,2.67436253396514e-09
"ZNF33B",7.08649863147707e-11,2.12594958944312e-10
"ZNF341",1.6690905997117e-08,2.07904267683388e-08
"ZNF346",3.95490524666862e-10,6.98117252105317e-10
"ZNF350",1.87992181867319e-12,2.2245741520966e-11
"ZNF354A",6.70985883973498e-12,5.27306773574344e-11
"ZNF354B",1.67225097442525e-10,3.62226567002622e-10
"ZNF37A",3.77522154611836e-10,6.77631058418436e-10
