gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
CREB1,1.008698979026489e-07,0.21135728920967106,623,2.792994231842253e-07,healthy,aging,aida,CD4T,8.612187069741869e-18,1.3198677392930002e-17,16.879469586198006,Increase in aging
CREB3,4.2475259551798876e-11,0.2601884366269086,623,6.208226387624067e-10,healthy,aging,aida,CD4T,1.02989350273992e-24,6.58931862432632e-24,23.18115949177845,Increase in aging
CREB3L2,1.1854728294679946e-15,0.31327217058314955,623,7.812265946194083e-14,healthy,aging,aida,CD4T,1.2734414911689199e-36,6.45536878984858e-35,34.19007894180637,Increase in aging
CREBL2,1.8361649994909805e-08,0.22303399298477725,623,7.960741675424712e-08,healthy,aging,aida,CD4T,3.27677434858075e-19,6.27730899917067e-19,18.20222649277166,Increase in aging
CREBZF,4.803136506116079e-06,0.18205400369049313,623,7.1289796340776935e-06,healthy,aging,aida,CD4T,7.45420791582746e-14,8.70979258250052e-14,13.059992187282585,Inconsistent
CREM,0.22545401290339734,0.048632793329419444,623,0.2373389688551739,healthy,aging,aida,CD4T,1.08894009956335e-10,1.20606979094495e-10,9.918627560400427,Inconsistent
CSRNP1,0.11809947773690112,0.06267659039979678,623,0.12696175502221507,healthy,aging,aida,CD4T,2.4707542329277198e-12,2.8072879991368398e-12,11.551713030892486,Inconsistent
CSRNP2,1.6239819666973938e-05,0.17178253350562084,623,2.1937375995759718e-05,healthy,aging,aida,CD4T,1.27314582550394e-18,2.2021078714097097e-18,17.65716141070008,Increase in aging
CTCF,3.4363651803681494e-09,0.2339269610611262,623,2.4614833194158807e-08,healthy,aging,aida,CD4T,1.6345030575160801e-21,4.9184361411100504e-21,20.308172962933806,Increase in aging
CUX1,3.172216747834208e-07,0.20311359303831875,623,6.636478847056327e-07,healthy,aging,aida,CD4T,4.01364065496257e-18,6.4669662386805095e-18,17.18929940631638,Increase in aging
CXXC1,3.0653452053885727e-09,0.23465013062619858,623,2.269733135225921e-08,healthy,aging,aida,CD4T,4.71177407966365e-21,1.29918791568968e-20,19.88632802764546,Increase in aging
CXXC5,5.120331133356332e-06,0.18152901445793732,623,7.548765585865374e-06,healthy,aging,aida,CD4T,1.17107350647737e-19,2.44996012942409e-19,18.61084098327302,Increase in aging
DBP,2.026719837238588e-10,0.25118853256100254,623,2.5200157976230746e-09,healthy,aging,aida,CD4T,9.21474601560567e-23,3.47001007101951e-22,21.45966926475326,Increase in aging
DDIT3,0.5083418704029995,0.026547948413674912,623,0.5201821313595911,healthy,aging,aida,CD4T,1.37645939043248e-08,1.49437683409391e-08,7.825539873517063,Inconsistent
DEAF1,1.0973472794531734e-08,0.22643892669623705,623,5.35668042340475e-08,healthy,aging,aida,CD4T,1.36946674098029e-21,4.1966701579220004e-21,20.377095163317367,Increase in aging
DMTF1,9.412809477084901e-06,0.17645364692169863,623,1.3114252527270508e-05,healthy,aging,aida,CD4T,2.1563412157884699e-16,2.7539319015593097e-16,15.560046803056101,Inconsistent
DNMT1,3.662998379422868e-12,0.27364796908471395,623,6.705322033443526e-11,healthy,aging,aida,CD4T,6.48853822024943e-25,4.3191380678226e-24,23.36460291284644,Increase in aging
DNTTIP1,3.882915875999384e-06,0.18378932270930987,623,5.909564808969039e-06,healthy,aging,aida,CD4T,4.40077099505801e-24,2.37713777519937e-23,22.62394564651127,Increase in aging
DOT1L,3.267643062771288e-05,0.16560714597742268,623,4.247291476067611e-05,healthy,aging,aida,CD4T,3.91205830011847e-17,5.31555962840839e-17,16.274451005696605,Increase in aging
DR1,1.427753250268871e-09,0.2394263908219031,623,1.3636078143872262e-08,healthy,aging,aida,CD4T,2.6675785538679403e-19,5.231947223211221e-19,18.28133664556753,Increase in aging
DRAP1,4.339619781428071e-09,0.23244239576463938,623,2.901823710969274e-08,healthy,aging,aida,CD4T,1.4819857752083301e-25,1.24132599288456e-24,23.90611415055683,Increase in aging
E2F3,3.5601620025915566e-06,0.1844927338143768,623,5.46887356575253e-06,healthy,aging,aida,CD4T,2.8363801442959e-17,3.96852338660509e-17,16.401371056042834,Increase in aging
E2F4,1.2140257233624228e-08,0.22577483393369344,623,5.714592512113119e-08,healthy,aging,aida,CD4T,6.78709271191231e-21,1.8066230703687902e-20,19.74313244817761,Increase in aging
E4F1,4.11769650029595e-06,0.1833119424293802,623,6.195347017568564e-06,healthy,aging,aida,CD4T,3.6377228978635304e-23,1.4889809873863799e-22,21.827110847664812,Increase in aging
EEA1,0.1868565869393264,0.05295133241645596,623,0.19797185014954358,healthy,aging,aida,CD4T,0.0621409884308374,0.0622354276229815,1.2059623220442737,Inconsistent
EGR1,0.495843900422836,0.027335233685021092,623,0.510564266216639,healthy,aging,aida,CD4T,3.57613231037686e-06,3.71129321659582e-06,5.430474732172642,Inconsistent
