gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
NFE2L1,0.06084068560458758,-0.2486230762193049,healthy,SLE,0.1317333105699331,Younger than 40,perez_sle,SLE,B
NFE2L2,0.45540059127538324,0.05497593462271255,healthy,SLE,0.5874574769005266,Younger than 40,perez_sle,SLE,B
NFKB1,0.65260641244488,-0.10112311921171724,healthy,SLE,0.7523101699017367,Younger than 40,perez_sle,SLE,B
NFKB2,0.6227689555447595,-0.14127787716407525,healthy,SLE,0.7380984957951421,Younger than 40,perez_sle,SLE,B
NFYC,0.32799439800660457,0.08032642711980298,healthy,SLE,0.4693712936991065,Younger than 40,perez_sle,SLE,B
NR1D2,0.0015243717041294894,0.45550808104258333,healthy,SLE,0.006517979217828911,Younger than 40,perez_sle,SLE,B
NR1H2,0.05827215789270642,0.2722952724250245,healthy,SLE,0.1272786606603851,Younger than 40,perez_sle,SLE,B
NR2C2,3.2954387917172243e-06,0.4229067449623951,healthy,SLE,3.729837541534495e-05,Younger than 40,perez_sle,SLE,B
NR3C1,0.13596564089289184,0.6275519725219785,healthy,SLE,0.24532930856760918,Younger than 40,perez_sle,SLE,B
NR4A1,0.21347393864634545,-0.004892354173524183,healthy,SLE,0.34073724822397444,Younger than 40,perez_sle,SLE,B
NR4A2,0.7917732389403747,-0.21664944333754477,healthy,SLE,0.8762290510940146,Younger than 40,perez_sle,SLE,B
PAX5,1.0,0.21315344947500847,healthy,SLE,1.0,Younger than 40,perez_sle,SLE,B
PHF20,0.7338697922890116,0.04556291791251699,healthy,SLE,0.8382274233025867,Younger than 40,perez_sle,SLE,B
PHF21A,0.0001759886215392881,0.44597876121674496,healthy,SLE,0.0011236196605969933,Younger than 40,perez_sle,SLE,B
PLAG1,2.5646494955304106e-07,-0.690357532624343,healthy,SLE,5.321647703225602e-06,Younger than 40,perez_sle,SLE,B
POU2F1,0.946998066201394,0.07339028161210234,healthy,SLE,0.9743905722485419,Younger than 40,perez_sle,SLE,B
POU2F2,0.3649429541116258,0.16267192985490908,healthy,SLE,0.5104598250577803,Younger than 40,perez_sle,SLE,B
PRDM1,0.0001813987925704975,-0.2737272421598336,healthy,SLE,0.001129207483751347,Younger than 40,perez_sle,SLE,B
PRDM2,0.10520230784261972,-0.0945654387206627,healthy,SLE,0.20789979883184376,Younger than 40,perez_sle,SLE,B
PRDM4,0.022541886952605502,-0.37445991131572365,healthy,SLE,0.05844463758214877,Younger than 40,perez_sle,SLE,B
RARA,0.5098495345501732,-0.14341070680755408,healthy,SLE,0.6444291071217926,Younger than 40,perez_sle,SLE,B
REL,0.40011888845023236,-0.24529265169394243,healthy,SLE,0.5356430280866014,Younger than 40,perez_sle,SLE,B
RELA,0.9742417169327774,-0.14235262549971495,healthy,SLE,0.9901477041480063,Younger than 40,perez_sle,SLE,B
RELB,0.28321334794675135,-0.2602534830130363,healthy,SLE,0.41482425669847695,Younger than 40,perez_sle,SLE,B
REPIN1,0.33366124635099015,0.06865305464637039,healthy,SLE,0.4747522876651232,Younger than 40,perez_sle,SLE,B
REST,0.5471130909187284,-0.006088007884056168,healthy,SLE,0.671089456348588,Younger than 40,perez_sle,SLE,B
RFX3,0.0007078293332295781,0.470658635357065,healthy,SLE,0.003455872626944411,Younger than 40,perez_sle,SLE,B
RLF,0.009954426946817425,0.6144076383668811,healthy,SLE,0.031375345693133404,Younger than 40,perez_sle,SLE,B
RORA,3.732013733904954e-05,-1.0892511965344163,healthy,SLE,0.00032043842060080466,Younger than 40,perez_sle,SLE,B
RREB1,0.8597920418173827,0.06024467177801185,healthy,SLE,0.9149069162928559,Younger than 40,perez_sle,SLE,B
RUNX1,0.588292041979912,0.07831191238900903,healthy,SLE,0.7110908662766898,Younger than 40,perez_sle,SLE,B
RUNX2,0.00012375188569641342,-0.4339923186492977,healthy,SLE,0.0009063005746590276,Younger than 40,perez_sle,SLE,B
RUNX3,0.012106250817077646,-0.8973307442918284,healthy,SLE,0.0358473973030978,Younger than 40,perez_sle,SLE,B
SAFB,0.022318131478035304,0.19345309291653745,healthy,SLE,0.05844463758214877,Younger than 40,perez_sle,SLE,B
SAFB2,0.003912869545174093,0.37363510897839514,healthy,SLE,0.014762189647702258,Younger than 40,perez_sle,SLE,B
SATB1,0.5521815264560314,-0.17707467109127872,healthy,SLE,0.6739862749389794,Younger than 40,perez_sle,SLE,B
SKIL,0.08290032288365769,0.16611673163547724,healthy,SLE,0.17346370082378793,Younger than 40,perez_sle,SLE,B
SMAD3,0.01017540124836786,0.34747931722169056,healthy,SLE,0.03167093638554496,Younger than 40,perez_sle,SLE,B
SOX4,1.7547859648072409e-09,0.5860653780911647,healthy,SLE,8.738834104740059e-08,Younger than 40,perez_sle,SLE,B
SOX5,0.20793485816419444,-0.5549797046643432,healthy,SLE,0.3362063615771715,Younger than 40,perez_sle,SLE,B
SP110,9.742862487345695e-08,0.44838030952373753,healthy,SLE,2.425972759349078e-06,Younger than 40,perez_sle,SLE,B
SP140L,0.15595465650137944,0.329390271522473,healthy,SLE,0.2734697849918555,Younger than 40,perez_sle,SLE,B
SP3,0.10358068518350785,0.4012692920701202,healthy,SLE,0.20633272488554763,Younger than 40,perez_sle,SLE,B
SP4,0.010747056387729274,0.37926056674982256,healthy,SLE,0.03303724741413073,Younger than 40,perez_sle,SLE,B
SPEN,0.44854807016738785,-0.07313623557310667,healthy,SLE,0.5817107784983311,Younger than 40,perez_sle,SLE,B
SPI1,0.0008349399167885505,1.188503769703921,healthy,SLE,0.0038500007274138714,Younger than 40,perez_sle,SLE,B
SPIB,0.007035322672095931,1.3042299579715007,healthy,SLE,0.02335727127135849,Younger than 40,perez_sle,SLE,B
SREBF2,0.20930975785672568,-0.3942711656475449,healthy,SLE,0.33624599810532063,Younger than 40,perez_sle,SLE,B
STAT1,5.141802816913335e-15,1.9810806940797754,healthy,SLE,6.401544507057103e-13,Younger than 40,perez_sle,SLE,B
STAT2,1.2620163472140888e-05,0.7096122693305063,healthy,SLE,0.00012086233479088774,Younger than 40,perez_sle,SLE,B
STAT3,0.42613393757731677,-0.08223632702769379,healthy,SLE,0.5644008003018717,Younger than 40,perez_sle,SLE,B
STAT5A,0.3150160818796496,-0.07491595243280802,healthy,SLE,0.45340464964180777,Younger than 40,perez_sle,SLE,B
STAT5B,0.017861314795774685,-0.6129141947424506,healthy,SLE,0.04988610470806538,Younger than 40,perez_sle,SLE,B
STAT6,0.18055870177157707,0.1263957653106953,healthy,SLE,0.3037778158183966,Younger than 40,perez_sle,SLE,B
TBX21,0.15049006965374123,-0.20516910171227565,healthy,SLE,0.26575905917575576,Younger than 40,perez_sle,SLE,B
TCF12,0.20384947944077147,0.2575769015282958,healthy,SLE,0.3339376340838954,Younger than 40,perez_sle,SLE,B
TCF3,0.34518322010823743,-0.12351663197888563,healthy,SLE,0.4855967333726052,Younger than 40,perez_sle,SLE,B
TCF4,0.027981918490656288,-0.38940412784794276,healthy,SLE,0.06764560877838267,Younger than 40,perez_sle,SLE,B
