gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ALDH9A1,0.2868682947681462,0.060384962110409494,313,0.5908792486033753,healthy,aging,abf300,NK,0.0006260580393297,0.0012713259926203,2.8957430736449936,Increase in aging
TMCO1,0.11664051808398317,0.08886692802528352,313,0.3748051365776158,healthy,aging,abf300,NK,0.000306751237528,0.000678335164147,3.168555669004321,Inconsistent
POU2F1,0.6251322823250605,0.02772232416414471,313,0.8428993338802375,healthy,aging,abf300,NK,0.0020238355828655,0.0035483335003768,2.4499755685002143,Inconsistent
CD247,0.09282507070167341,0.09516269636133314,313,0.3313853473021526,healthy,aging,abf300,NK,0.0004378727384844,0.0009304583955494,3.031303041111689,Inconsistent
RCSD1,0.0034247288454518354,-0.1649575469454123,313,0.043374589051931846,healthy,aging,abf300,NK,3.19572282182719e-10,3.8580451561091706e-09,8.41363269350544,Inconsistent
MPC2,0.08611971709623423,0.09716622456552414,313,0.31604311273995395,healthy,aging,abf300,NK,0.000867792542807,0.001693351487616,2.771252886375199,Increase in aging
TIPRL,0.7467652706145023,-0.01832359250052182,313,0.902435357046169,healthy,aging,abf300,NK,6.11199645714671e-05,0.0001643328269168,3.784275673784693,Inconsistent
SFT2D2,0.05392284086020107,0.10905742674030064,313,0.24172155492172198,healthy,aging,abf300,NK,1.29779340578109e-07,7.81664383547754e-07,6.106979676172688,Inconsistent
XCL2,0.07100084482439072,-0.10219285682537461,313,0.2824474805797164,healthy,aging,abf300,NK,3.94579358440223e-18,3.09632059416021e-16,15.50915407865246,Inconsistent
XCL1,0.002996656455548097,-0.16725173941134847,313,0.039515232583329146,healthy,aging,abf300,NK,7.581121575577651e-17,4.20637381966142e-15,14.37609213426452,Decrease in aging
ATP1B1,0.014030431987377192,-0.13873165092710882,313,0.10946953095022377,healthy,aging,abf300,NK,7.63685282919546e-07,3.60388596140642e-06,5.443228959955875,Decrease in aging
SELL,9.940551520183045e-07,-0.2724005636985923,313,0.00017463304380295762,healthy,aging,abf300,NK,2.4235214470828597e-18,1.95770636894502e-16,15.708252446296814,Decrease in aging
KIFAP3,0.760516391479914,0.017296383042179266,313,0.9090808314309947,healthy,aging,abf300,NK,0.0276731893671319,0.0364792006704237,1.4379546864682784,Inconsistent
PRRC2C,0.8086343862416565,-0.013743624109561932,313,0.9322232996342212,healthy,aging,abf300,NK,0.0007981629867966,0.0015703113490235,2.8040142305480487,Inconsistent
VAMP4,0.9650506955367395,0.002486598505865825,313,0.9882645844387041,healthy,aging,abf300,NK,0.0082047768927417,0.012323992199024,1.9092485852595034,Inconsistent
PIGC,0.8695917080074794,0.009316915056613136,313,0.95318954236444,healthy,aging,abf300,NK,0.0003865631811786,0.0008333561829726,3.079169338044184,Increase in aging
SUCO,0.3014207102544784,-0.05859497916518413,313,0.6041708225813535,healthy,aging,abf300,NK,0.0051064809617683,0.0080487517713036,2.0942714663238235,Inconsistent
FASLG,0.13249579238481124,0.08521610660436024,313,0.4004284602262386,healthy,aging,abf300,NK,0.425336877405639,0.444515880439341,0.35211271913925724,Increase in aging
PRDX6,5.583608354943372e-05,0.22573143153938252,313,0.0027897551468827157,healthy,aging,abf300,NK,7.04141107992685e-05,0.0001864921459114,3.729339453716768,Inconsistent
ZBTB37,0.1560085440237227,0.08037719064388353,313,0.4328184058854782,healthy,aging,abf300,NK,2.39980364007154e-06,9.65723179114504e-06,5.01514734461138,Inconsistent
RC3H1,0.871843182287394,0.009154651977160776,313,0.9532338829024589,healthy,aging,abf300,NK,0.0001014225808796,0.0002569715114261,3.5901150210898636,Inconsistent
RABGAP1L,0.09585693751152423,0.09429461824628944,313,0.33695828674484124,healthy,aging,abf300,NK,7.69874550910961e-06,2.68162391132144e-05,4.571602130545097,Inconsistent
CACYBP,0.5460767217778028,-0.03424729643992739,313,0.7952809683439842,healthy,aging,abf300,NK,0.27179376026685,0.293025147231758,0.5330951071703118,Inconsistent
MRPS14,0.4476070822182483,0.043076835057654674,313,0.7295458907880198,healthy,aging,abf300,NK,0.0291395813382192,0.038247006043211,1.417402555537893,Inconsistent
COP1,0.6830899377696387,-0.023165256593807165,313,0.8704042585618746,healthy,aging,abf300,NK,0.506258106518777,0.522524573300947,0.2818932807230198,Inconsistent
RALGPS2,0.02621446869726115,-0.1256568150484108,313,0.15933481755054044,healthy,aging,abf300,NK,5.892467164375e-06,2.11828024436596e-05,4.67401658411028,Decrease in aging
SOAT1,0.8096261354344185,0.013671006977503035,313,0.932774261386893,healthy,aging,abf300,NK,1.9426667240844e-06,8.05971927144682e-06,5.093680084867963,Inconsistent
TOR1AIP2,0.8465812619466063,0.010979866954112825,313,0.9454718093802202,healthy,aging,abf300,NK,0.0001191205199281,0.0002959385168137,3.5287985071237866,Inconsistent
TOR1AIP1,0.8299721118244354,-0.012185976840223123,313,0.9379597677932922,healthy,aging,abf300,NK,5.38668666334169e-07,2.65683960424095e-06,5.57563466354069,Inconsistent
CEP350,0.5479629931411893,-0.03408659922855177,313,0.7963433500307391,healthy,aging,abf300,NK,1.01268079145935e-06,4.59343979148326e-06,5.3378619717667855,Inconsistent
QSOX1,0.25903387656380417,0.06398724162095377,313,0.5607731436176079,healthy,aging,abf300,NK,0.0247297463051275,0.0330110562464314,1.4813405794364924,Inconsistent
ACBD6,0.7021848444105481,0.02169725527186182,313,0.880114767010321,healthy,aging,abf300,NK,0.0156282531037531,0.0219836092954971,1.6579010030665717,Inconsistent
XPR1,0.5939525977690676,-0.030247677904909894,313,0.8242910646496522,healthy,aging,abf300,NK,0.363150367142103,0.382949696047528,0.41685827084547056,Inconsistent
STX6,0.19409371115453744,0.07359403800527373,313,0.4833261778452725,healthy,aging,abf300,NK,0.001245056745116,0.0023151986123637,2.6354117465234865,Inconsistent
MR1,0.5126082002144068,-0.03714630545050506,313,0.7742499471302563,healthy,aging,abf300,NK,0.0026550568769813,0.004507711080127,2.346043927658683,Inconsistent
IER5,0.0017778965536206037,-0.17596070618716667,313,0.028893604848770692,healthy,aging,abf300,NK,7.70440648924836e-06,2.68189511061098e-05,4.571558211485777,Decrease in aging
GLUL,0.46623551505096184,0.04133167508612604,313,0.7430841717786181,healthy,aging,abf300,NK,0.0019545231792353,0.0034388839921652,2.463582474486882,Inconsistent
DHX9,0.357378409200369,-0.05219586353606957,313,0.6564191623963608,healthy,aging,abf300,NK,0.0216527475392806,0.0293385649317386,1.5325611330786082,Inconsistent
SMG7,0.40160765988435476,0.0475726380394897,313,0.6944968007027941,healthy,aging,abf300,NK,2.3972140334548e-06,9.65388320070909e-06,5.015297959877632,Inconsistent
ARPC5,0.4623711628252739,-0.04169045460920948,313,0.7399717407552224,healthy,aging,abf300,NK,1.13175395873539e-06,5.02564631797371e-06,5.298808078329425,Inconsistent
COLGALT2,0.17695807826069318,0.07651092502183585,313,0.4634859331248938,healthy,aging,abf300,NK,3.38426046949871e-07,1.78919564571284e-06,5.747342167421573,Increase in aging
TSEN15,0.20986982004952848,0.07107064159960448,313,0.5048646766074592,healthy,aging,abf300,NK,0.0001633647888412,0.0003886369792573,3.4104558781487233,Inconsistent
C1orf21,0.10644792309831089,0.09142399059460272,313,0.353054439216444,healthy,aging,abf300,NK,4.080084388255151e-15,1.41847490789149e-13,12.848178342251385,Increase in aging
EDEM3,0.05757648714518185,0.10745162902760202,313,0.2500490821313081,healthy,aging,abf300,NK,3.12179832351601e-06,1.20421616510347e-05,4.919295547226765,Inconsistent
NIBAN1,0.8906539641486848,-0.007801741958855944,313,0.9608758892142902,healthy,aging,abf300,NK,0.0384814160099074,0.0490437165063622,1.3094166266412057,Inconsistent
IVNS1ABP,0.18367991187797225,-0.07534291691348462,313,0.4725180916804142,healthy,aging,abf300,NK,3.19179682919577e-06,1.22692958081471e-05,4.911180362734459,Inconsistent
TPR,0.8161990653253155,0.013190285477943332,313,0.9355967395835968,healthy,aging,abf300,NK,1.94793944569417e-06,8.075495377508e-06,5.0928308271244935,Inconsistent
ODR4,0.10054380136374277,-0.09299475200908426,313,0.3448120191004587,healthy,aging,abf300,NK,0.488401610616446,0.505614407673603,0.29618055916397884,Inconsistent
RGS18,0.07939399953729609,0.09930607819799303,313,0.30257503252632223,healthy,aging,abf300,NK,0.277008815235059,0.298120968277073,0.5256074768799097,Inconsistent
RGS1,0.016565365856547814,-0.13535973885438068,313,0.12056488690403551,healthy,aging,abf300,NK,0.0524173973357334,0.0648342183213654,1.1881957208914211,Inconsistent
RGS2,0.03614227991445351,-0.11849120629468635,313,0.1918429399747698,healthy,aging,abf300,NK,5.0105673274804894e-18,3.62145346445399e-16,15.441117091095792,Inconsistent
UCHL5,1.2386180566613868e-08,0.3148970489003045,313,6.723573714050119e-06,healthy,aging,abf300,NK,5.263405252297229e-11,7.62846571263026e-10,9.117562801434692,Inconsistent
RO60,0.29550216522048595,0.059315865681014095,313,0.5974737453797461,healthy,aging,abf300,NK,2.36022303035668e-15,8.529411253782391e-14,13.069080945158136,Inconsistent
CDC73,0.9994165923078038,4.149550403365514e-05,313,0.9998065719709718,healthy,aging,abf300,NK,0.0002766630608153,0.0006220672096024,3.2061626905783367,Inconsistent
DENND1B,0.8169840832741853,0.013132935559632667,313,0.9356501277654748,healthy,aging,abf300,NK,0.494422761543146,0.511558528754286,0.2911046703372508,Inconsistent
NEK7,0.14920271716583308,-0.0817171743868809,313,0.4218888876869818,healthy,aging,abf300,NK,0.000159568213072,0.0003805940922295,3.4195379573312934,Inconsistent
PTPRC,0.676895027488124,0.023644803692309316,313,0.8686463898223441,healthy,aging,abf300,NK,4.5770316605708195e-11,6.77672100040849e-10,9.16898039402314,Inconsistent
ZNF281,0.8963298510509177,-0.007394420525393509,313,0.9643248456782492,healthy,aging,abf300,NK,0.0006165400540238,0.0012571273909408,2.9006207108746214,Inconsistent
DDX59,0.9181936365647776,0.005828748182161399,313,0.9725006572249192,healthy,aging,abf300,NK,0.000111042262107,0.0002787729185348,3.55474941817144,Inconsistent
KIF21B,0.5284641652941802,0.03576129513662702,313,0.7840020325640636,healthy,aging,abf300,NK,0.0111517711797679,0.0162441471998052,1.789303083712074,Inconsistent
CSRP1,0.1886902411391142,0.07449265054781387,313,0.47929433453526865,healthy,aging,abf300,NK,0.0022500187765713,0.0038865890376434,2.41043137861737,Inconsistent
IPO9,0.6032234175289166,-0.02949077642331487,313,0.8289234110537972,healthy,aging,abf300,NK,6.73421128284215e-05,0.0001790465758792,3.747033980103004,Inconsistent
TIMM17A,0.9350957371389064,0.004621463894993545,313,0.9790201378028902,healthy,aging,abf300,NK,0.021359018618561,0.028969157844878,1.5380641298786875,Inconsistent
